"Video title","Video id","Video length (minutes)","Video created","Watch time (minutes)",Views,"Average view duration","Average percentage viewed","Card clicks","Cards shown","Clicks per card shown","Card teaser clicks","Card teasers shown","Clicks per card teaser shown","End screen elements shown","End screen element clicks","Clicks per end screen element shown","Estimated partner revenue usd","Estimated partner ad revenue usd","Estimated partner adsense revenue usd","Estimated partner doubleclick revenue usd","Partner transaction revenue usd",Transactions,"Partner revenue per transaction usd","Estimated monetized playbacks","Playback based cpm usd","Ad impressions","Cpm usd","Youtube ad revenue usd","Youtube red watch time (minutes)","Youtube red views","Youtube red partner revenue usd","Youtube red watch time (hours)","Annotation clicks","Clickable annotations shown","Annotation click through rate","Annotation closes","Closable annotations shown","Annotation close rate","Annotations shown",Likes,"Likes added","Likes removed",Dislikes,"Dislikes added","Dislikes removed",Shares,Comments,"Videos in playlists","Videos added to playlists","Videos removed from playlists",Subscribers,"Subscribers gained","Subscribers lost","Watch time (hours)"
"Algorithms for Data Science - EVENT LIVE @ 10:30am - 17:00pm GMT",3AUzOwWP2EQ,198.25,03/17/2017,902,100,9,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,4,4,0,0,0,0,15
"Masterclass: Monte Carlo Methods",HEze9ffcpF8,165.58,04/13/2017,887,84,10.6,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,6,7,1,0,0,0,15
"Masterclass: Time Series Modelling and State Space Models",eAx112kt9ZQ,111.85,02/16/2017,886,107,8.3,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,7,8,1,0,0,0,15
"Data Science Applications: Urban data science - Professor Cecilia Mascolo",eNpdvzORWVc,47.35,12/12/2016,883,174,5.1,10.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,6,6,0,0,0,0,0,2,8,9,1,2,2,0,15
"Generational Random Graphs – a “Natural” Model for Heterogeneous Temporal Networks?",iMkFJkf8gJU,60.8,04/07/2017,873,66,13.2,21.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,15
"Society of Data Miners Practitioner Seminar - Targeting crimes and criminals through data - Richard",M4UB3YQvMw0,123.15,12/01/2016,825,40,20.6,16.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,31,0,0,0,0,0,0,6,0,0,0,0,0,0,0,14
"Tools and Techniques - Data science with R - Dr James Geddes",LSTq6A5-q0E,49.8,12/07/2016,805,121,6.7,13.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,5,20,5,0,0,0,0,0,0,1,0,6,6,0,0,0,0,13
"Fellow Short Talks: Dr Tobias Preis (University of Warwick)",siJM5pVkxIk,29.18,10/12/2016,804,436,1.8,6.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,374,1.34,1,23,4.35,374,5,5,0,0,0,0,2,0,20,20,0,1,1,0,13
"Fellow Short Talks LIVE: 11:10am - 12:40pm",5D5-cG6Mb2k,124.1,10/17/2016,766,55,13.9,11.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,1,0,46,1,1,0,0,0,0,0,0,3,3,0,0,0,0,13
"Exploring Novel Opportunities for Data Science In Cardiovascular Research",eAhSEaBRp2k,127.03,03/28/2017,757,81,9.3,7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4,1,0,0,0,13
