Date,"Watch time (minutes)",Views,"Average view duration","Average percentage viewed","Card clicks","Cards shown","Clicks per card shown","Card teaser clicks","Card teasers shown","Clicks per card teaser shown","End screen elements shown","End screen element clicks","Clicks per end screen element shown","Estimated partner revenue usd","Estimated partner ad revenue usd","Estimated partner adsense revenue usd","Estimated partner doubleclick revenue usd","Partner transaction revenue usd",Transactions,"Partner revenue per transaction usd","Estimated monetized playbacks","Playback based cpm usd","Ad impressions","Cpm usd","Youtube ad revenue usd","Youtube red watch time (minutes)","Youtube red views","Youtube red partner revenue usd","Youtube red watch time (hours)","Annotation clicks","Clickable annotations shown","Annotation click through rate","Annotation closes","Closable annotations shown","Annotation close rate","Annotations shown","Videos published","Videos added",Likes,"Likes added","Likes removed",Dislikes,"Dislikes added","Dislikes removed",Shares,Comments,"Videos in playlists","Videos added to playlists","Videos removed from playlists",Subscribers,"Subscribers gained","Subscribers lost","Watch time (hours)"
2016-05-27,262,19,13.8,23.08,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,14,0.00,0,0,0.00,14,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4
2016-05-28,90,10,9.0,14.75,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,8,0.00,0,0,0.00,8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-05-29,384,14,27.5,43.31,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,11,0.00,0,0,0.00,11,,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6
2016-05-30,687,49,14.0,20.78,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,13,1,0.00,0,0,31,0.00,0,0,0.00,31,,,3,3,0,0,0,0,3,0,1,1,0,2,2,0,11
2016-05-31,396,58,6.8,10.10,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,49,0.00,0,0,0.00,49,,,0,0,0,0,0,0,1,1,1,1,0,0,0,0,7
2016-06-01,646,53,12.2,19.41,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,42,0.00,0,0,0.00,42,,,0,0,0,0,0,0,0,0,3,3,0,2,2,0,11
2016-06-02,210,20,10.5,17.02,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,18,0.00,0,0,0.00,18,,,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4
2016-06-03,155,16,9.7,16.16,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,14,0.00,0,0,0.00,14,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2016-06-04,87,10,8.7,15.16,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,4,0.00,0,0,0.00,4,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2016-06-05,76,10,7.6,13.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,8,0.00,0,0,0.00,8,,,1,1,0,0,0,0,0,0,2,2,0,2,2,0,1
2016-06-06,402,72,5.6,9.26,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,62,0.00,0,0,0.00,62,,,0,0,0,0,0,0,3,0,0,1,1,9,9,0,7
2016-06-07,185,23,8.1,13.52,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,20,0.00,0,0,0.00,20,,,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3
